hoogte,"1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","2100","2200","2300","2400","2500","2600","2700","2800","2900","3000","3100","3200","3300","3400","3500","3600","3700","3800","3900","4000"
1000,"585","599","613","630","673","687","700","714","728","743","758","772","786","799","813","842","856","870","883","897","944","960","975","990","1004","1021","1036","1052","1066","1081","1098"
1100,"597","611","626","674","689","703","718","733","748","764","781","796","810","837","852","870","885","900","915","930","977","995","1011","1027","1042","1060","1076","1093","1109","1125","1143"
1200,"608","624","669","688","704","720","736","752","768","785","803","831","847","863","879","898","914","930","946","962","1011","1030","1047","1064","1081","1099","1116","1135","1152","1169","1188"
1300,"619","666","683","703","720","737","754","771","788","807","838","855","872","889","906","927","944","961","978","995","1045","1065","1083","1101","1119","1139","1157","1176","1194","1212","1232"
1400,"660","678","696","718","736","754","772","790","821","840","860","879","897","915","933","955","973","991","1009","1027","1036","1099","1119","1138","1157","1178","1197","1218","1237","1256","1277"
1500,"671","690","710","732","752","771","790","822","841","862","883","902","921","941","960","983","1002","1021","998","1017","1069","1134","1154","1175","1195","1217","1238","1259","1280","1329","1351"
1600,"682","703","723","747","767","788","820","841","861","883","905","926","946","967","987","1011","1031","1009","1029","1050","1103","1169","1190","1212","1233","1257","1278","1330","1351","1373","1396"
1700,"694","715","737","761","783","817","838","860","881","904","928","949","971","992","1014","996","1018","1039","1061","1082","1137","1204","1226","1249","1271","1325","1347","1371","1394","1417","1441"
1800,"705","727","750","776","811","834","856","879","902","926","950","973","996","1018","998","1024","1047","1070","1092","1115","1171","1239","1262","1315","1339","1364","1388","1413","1437","1460","1486"
1900,"716","740","763","791","827","851","874","898","922","947","973","997","978","1001","1025","1052","1076","1100","1124","1147","1204","1302","1327","1352","1377","1403","1428","1454","1479","1504","1531"
2000,"727","752","777","818","842","867","892","917","942","968","995","977","1002","1027","1052","1080","1105","1130","1155","1180","1281","1337","1363","1389","1415","1443","1469","1496","1522","1548","1576"
2100,"738","764","803","832","858","884","910","936","962","990","975","1001","1027","1053","1079","1108","1134","1160","1229","1255","1315","1372","1399","1426","1453","1482","1509","1538","1565","1592","1776"
2200,"750","777","816","847","874","901","928","955","982","968","997","1025","1052","1079","1106","1137","1164","1234","1261","1288","1348","1407","1435","1463","1491","1521","1550","1579","1762","1791","1821"
2300,"761","801","830","861","890","918","946","974","1003","990","1020","1048","1076","1105","1133","1165","1236","1264","1292","1321","1382","1442","1471","1500","1529","1561","1590","1776","1805","1834","1866"
2400,"772","814","843","876","905","935","964","994","980","1011","1042","1072","1101","1131","1160","1236","1265","1294","1324","1353","1416","1476","1507","1537","1568","1755","1786","1817","1848","1878","1911"
2500,"796","826","857","891","921","952","982","970","1000","1032","1065","1095","1126","1156","1230","1264","1294","1325","1355","1386","1449","1511","1543","1574","1761","1794","1826","1859","1890","1922","1956"
2600,"807","839","870","905","937","968","1000","989","1021","1054","1087","1119","1151","1225","1257","1292","1323","1355","1387","1418","1483","1546","1579","1766","1799","1834","1866","1900","1933","1966","2000"
2700,"818","851","884","920","953","985","975","1008","1041","1075","1110","1143","1218","1251","1284","1320","1353","1385","1418","1451","1517","1736","1770","1804","1837","1873","1907","1942","1976","2010","2045"
2800,"829","863","897","934","968","959","993","1027","1061","1096","1132","1209","1243","1277","1311","1348","1382","1416","1450","1483","1579","1771","1806","1841","1875","1912","1947","1984","2019","2126","2163"
2900,"841","876","911","949","984","976","1011","1046","1081","1118","1155","1233","1268","1303","1338","1376","1411","1446","1481","1545","1613","1806","1842","1878","1914","1952","1988","2025","2134","2170","2208"
3000,"852","888","924","964","957","993","1029","1065","1102","1139","1220","1256","1292","1328","1365","1404","1440","1476","1541","1577","1647","1840","1878","1915","1952","1991","2028","2140","2177","2214","2253"
3100,"863","900","938","978","973","1010","1047","1085","1122","1203","1243","1280","1317","1354","1392","1432","1469","1536","1573","1610","1680","1875","1913","1952","1990","2103","2141","2181","2219","",""
3200,"874","913","951","993","988","1027","1065","1104","1142","1225","1265","1303","1342","1380","1418","1460","1499","1566","1604","1643","1714","1910","1949","1989","2101","2142","2182","2223","","",""
3300,"886","925","964","965","1004","1044","1083","1123","1205","1246","1287","1327","1366","1406","1445","1488","1557","1596","1636","1675","1748","1945","1985","2099","2139","2182","2222","","","",""
3400,"897","937","978","979","1020","1061","1101","1142","1225","1267","1310","1351","1391","1432","1472","1545","1586","1626","1667","1708","1781","1980","2094","2136","2177","2221","","","","",""
3500,"908","950","949","994","1036","1077","1119","1204","1246","1289","1332","1374","1416","1458","1528","1573","1615","1657","1699","1740","1815","2087","2130","2173","2216","","","","","",""
