hoogte,"1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","2100","2200","2300","2400","2500","2600","2700","2800","2900","3000","3100","3200","3300","3400","3500","3600","3700","3800","3900","4000"
1000,"412","427","443","459","473","488","504","518","533","549","565","579","594","608","624","646","660","675","691","705","752","786","803","819","834","850","867","884","900","915","933"
1100,"424","440","457","474","490","505","523","538","554","571","589","604","620","641","658","675","691","706","724","739","788","823","841","858","874","891","910","928","944","961","980"
1200,"436","453","471","490","506","523","542","559","575","593","612","634","651","668","687","705","722","738","757","774","823","859","879","897","915","932","952","971","989","1007","1027"
1300,"448","466","486","505","523","541","561","579","596","616","641","659","677","695","715","734","752","770","790","808","858","896","917","936","955","974","995","1015","1034","1053","1074"
1400,"460","479","500","520","539","558","580","599","623","644","665","684","703","722","743","764","783","802","823","842","894","932","954","975","995","1015","1037","1059","1079","1099","1121"
1500,"471","492","514","536","556","576","598","624","644","666","688","709","729","749","772","793","813","834","856","876","929","969","992","1013","1035","1056","1080","1102","1124","1159","1182"
1600,"483","505","528","551","572","594","623","644","666","689","712","733","755","776","800","823","844","866","889","910","965","1005","1030","1052","1075","1097","1122","1160","1182","1205","1230"
1700,"495","518","542","566","589","617","642","664","687","711","736","758","781","803","828","852","875","897","922","945","1000","1042","1068","1091","1115","1153","1178","1204","1227","1251","1277"
1800,"507","531","556","582","611","635","661","684","708","733","759","783","807","831","856","882","905","929","955","979","1035","1078","1105","1144","1169","1194","1221","1247","1272","1297","1324"
1900,"519","543","570","597","627","652","679","704","729","756","783","808","833","858","885","911","936","961","988","1013","1071","1129","1157","1183","1209","1235","1263","1291","1317","1343","1371"
2000,"530","556","585","618","644","670","698","724","751","778","806","833","859","885","913","941","967","993","1021","1047","1123","1166","1195","1222","1249","1276","1306","1334","1362","1389","1418"
2100,"542","569","604","633","661","688","717","745","772","801","830","857","885","912","941","970","997","1025","1071","1098","1158","1202","1233","1261","1289","1318","1348","1378","1406","1435","1496"
2200,"554","582","619","649","677","706","736","765","793","823","854","882","911","939","970","1000","1028","1073","1104","1132","1194","1239","1270","1300","1329","1359","1391","1422","1482","1512","1543"
2300,"566","601","633","664","694","723","755","785","814","845","877","907","936","966","998","1029","1076","1105","1137","1167","1229","1275","1308","1339","1369","1400","1433","1496","1527","1558","1590"
2400,"577","614","647","679","710","741","774","805","835","868","901","932","962","993","1026","1075","1106","1137","1170","1201","1264","1312","1346","1378","1410","1472","1506","1540","1572","1604","1638"
2500,"595","627","661","694","727","759","793","825","857","890","924","956","988","1020","1071","1105","1137","1169","1203","1235","1300","1348","1383","1417","1480","1514","1549","1583","1616","1650","1685"
2600,"607","640","675","710","743","776","812","845","878","913","948","981","1014","1064","1100","1134","1167","1201","1236","1269","1335","1385","1421","1486","1521","1555","1591","1627","1661","1696","1732"
2700,"618","653","689","725","760","794","830","865","899","935","971","1006","1057","1091","1128","1164","1198","1233","1269","1303","1370","1452","1490","1525","1561","1596","1634","1671","1706","1742","1779"
2800,"630","666","703","740","776","812","849","885","920","957","995","1047","1083","1119","1156","1193","1229","1264","1302","1338","1420","1489","1527","1564","1601","1637","1676","1714","1751","1954","1993"
2900,"642","679","718","756","793","829","868","905","942","980","1019","1072","1109","1146","1184","1223","1259","1296","1335","1386","1455","1525","1565","1603","1641","1679","1719","1758","1962","2000","2040"
3000,"654","692","732","771","809","847","887","925","963","1002","1059","1097","1135","1173","1213","1252","1290","1328","1382","1420","1491","1562","1603","1642","1681","1720","1761","1968","2007","2046","2087"
3100,"666","705","746","786","826","865","906","945","984","1041","1083","1122","1161","1200","1241","1282","1321","1374","1415","1454","1526","1598","1641","1681","1721","1928","1970","2012","2052","",""
3200,"677","718","760","802","842","882","925","965","1005","1064","1106","1146","1187","1227","1269","1311","1351","1406","1448","1488","1561","1635","1678","1720","1928","1969","2013","2055","","",""
3300,"689","731","774","817","859","900","944","985","1043","1086","1130","1171","1213","1254","1298","1341","1396","1438","1481","1523","1597","1671","1716","1925","1968","2010","2055","","","",""
3400,"701","744","788","832","875","918","962","1005","1065","1109","1153","1196","1239","1281","1326","1384","1427","1469","1514","1557","1632","1708","1920","1964","2008","2052","","","","",""
3500,"713","757","802","848","892","935","981","1042","1086","1131","1177","1221","1265","1308","1368","1414","1457","1501","1547","1591","1667","1911","1958","2003","2048","","","","","",""
