hoogte,"1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","2100","2200","2300","2400","2500","2600","2700","2800","2900","3000","3100","3200","3300","3400","3500","3600","3700","3800","Kastgrootte"
1000,"","","","","","","","","","","898","920","937","954","971","992","1009","1026","1043","1064","1081","1098","1115","1137","1172","1188","1205","1227","1244","150"
1100,"","","","","","","","","","","923","946","964","982","1000","1023","1041","1058","1076","1099","1117","1153","1171","1194","1212","1230","1248","1271","1288","150"
1200,"","","","","","","","","","","948","972","991","1010","1029","1053","1072","1091","1128","1152","1171","1190","1209","1233","1252","1271","1290","1314","1333","150"
1300,"","","","","","","","","","","985","1010","1031","1051","1072","1097","1136","1157","1177","1202","1223","1244","1264","1289","1310","1331","1351","1376","1397","165"
1400,"","","","","","","","","","","1010","1036","1058","1080","1119","1146","1168","1189","1211","1237","1259","1281","1302","1329","1350","1372","1393","1420","1442","165"
1500,"","","","","","","","","","","1035","1062","1085","1126","1149","1176","1199","1222","1244","1272","1295","1317","1340","1368","1390","1413","1436","1464","1486","165"
1600,"","","","","","","","","","","1060","1107","1130","1154","1178","1207","1231","1254","1278","1307","1331","1354","1378","1407","1431","1455","1478","1507","1531","165"
1700,"","","","","","","","","","","1113","1144","1169","1194","1220","1250","1275","1300","1326","1356","1381","1407","1432","1462","1487","1513","1538","1568","1593","180"
1800,"","","","","","","","","","","1138","1170","1196","1222","1249","1280","1307","1333","1359","1391","1417","1443","1470","1501","1528","1554","1580","1612","1638","180"
1900,"","","","","","","","","","","1163","1196","1223","1251","1278","1311","1338","1366","1393","1425","1453","1480","1508","1540","1568","1595","1623","1655","1683","180"
2000,"","","","","","","","","","","1188","1222","1250","1279","1308","1341","1370","1398","1427","1460","1489","1517","1546","1579","1608","1637","1665","1699","1727","180"
2100,"","","","","","","","","","","1250","1286","1317","1348","1379","1415","1446","1477","1509","1545","1576","1607","1638","1674","1705","1737","1768","1804","1942","205"
2200,"","","","","","","","","","","1275","1312","1344","1376","1408","1446","1478","1510","1542","1579","1612","1644","1676","1713","1746","1778","1917","1954","1986","205"
2300,"","","","","","","","","","","1299","1338","1371","1404","1438","1476","1509","1543","1576","1614","1648","1681","1714","1753","1893","1926","1959","1997","2031","205"
2400,"","","","","","","","","","","1324","1364","1398","1433","1467","1506","1541","1575","1610","1649","1683","1718","1752","1898","","","","","","205"
2500,"","","","","","","","","","","1349","1390","1425","1461","1496","1537","1572","1608","1643","1684","1719","1755","1897","","","","","","","205"
2600,"","","","","","","","","","","1374","1416","1452","1489","1526","1567","1604","1640","1677","1719","1862","","","","","","","","","205"
2700,"","","","","","","","","","","1399","1442","1480","1517","1555","1598","1635","1673","1711","1860","","","","","","","","","","205"
2800,"","","","","","","","","","","1424","1468","1507","1545","1584","1628","1667","1706","1851","","","","","","","","","","","205"
