hoogte;1000;1200;1400;1600;1800;2000
1000;623;655;686;717;747;778
1100;638;670;705;737;770;803
1200;656;689;724;760;794;830
1300;674;709;747;784;822;858
1400;689;726;767;806;845;885
1500;704;746;787;828;868;910
1600;720;764;806;847;891;936
1700;738;783;828;874;918;963
1800;754;802;847;894;942;987
1900;771;821;868;916;966;1014
2000;786;836;887;939;991;1041
2100;804;857;912;963;1016;1070
2200;822;875;930;984;1040;1093
2300;835;893;950;1007;1063;1120
2400;853;913;970;1029;1088;1146
