hoogte;1000;1200;1400;1600;1800;2000
2000;475;496;570;735;;
2200;475;496;570;735;803;
2400;475;496;570;735;865;865
2600;508;528;604;788;912;912
2800;577;607;693;857;1013;1013
3000;742;772;858;1022;1178;1178
