hoogte;1000;1100;1200;1300;1400
min2250zk;296;296;311;326;343
plus2250zk;370;370;389;408;428
min2250mk;436;436;458;481;505
plus2250mk;545;545;573;585;630
plint300;86;95;103;112;120
plints;124;137;149;162;174
