hoogte;1000;1200;1400;1600;1800;2000
2000;594;620;712;919;;
2200;594;620;712;919;1004;
2400;594;620;712;919;1082;1082
2600;635;660;755;985;1140;1140
2800;721;758;867;1071;1267;1267
3000;927;964;1073;1277;1473;1473
